Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-5735,AMODON 3,WW1,45.21452,6.67607,JN35IF
FBOTA,227,B/F-5736,AMODON 3,WW1,45.21452,6.67607,JN35IF
FBOTA,227,B/F-5737,AMODON 2,WW1,45.214485,6.676098,JN35IF
FBOTA,227,B/F-5738,AMODON 2,WW1,45.214485,6.676098,JN35IF
FBOTA,227,B/F-5739,VICTOR-EMMANUEL Nord-Est,WW1,45.213428,6.736553,JN35IF
FBOTA,227,B/F-5740,VICTOR-EMMANUEL Nord-Est,WW1,45.213428,6.736553,JN35IF
FBOTA,227,B/F-5741,AMODON 1,WW1,45.213226,6.676866,JN35IF
FBOTA,227,B/F-5742,AMODON 1,WW1,45.213226,6.676866,JN35IF
FBOTA,227,B/F-5743,AMODON,WW1,45.212911,6.675995,JN35IF
FBOTA,227,B/F-5744,AMODON,WW1,45.212911,6.675995,JN35IF
FBOTA,227,B/F-5745,VICTOR-EMMANUEL Sud-Ouest 1,WW1,45.210995,6.735657,JN35IF
FBOTA,227,B/F-5746,VICTOR-EMMANUEL Sud-Ouest 1,WW1,45.210995,6.735657,JN35IF
FBOTA,227,B/F-5747,VICTOR-EMMANUEL Sud-Ouest 2,WW1,45.210985,6.735799,JN35IF
FBOTA,227,B/F-5748,VICTOR-EMMANUEL Sud-Ouest 2,WW1,45.210985,6.735799,JN35IF
FBOTA,227,B/F-5749,BELLECOMBE,WW1,45.2107,6.843243,JN35KF
FBOTA,227,B/F-5750,BELLECOMBE,WW1,45.2107,6.843243,JN35KF
FBOTA,227,B/F-5751,La CROSTA,WW1,45.210448,6.858264,JN35KF
FBOTA,227,B/F-5752,La CROSTA,WW1,45.210448,6.858264,JN35KF
FBOTA,227,B/F-5753,SAINT GOBAIN,WW1,45.208938,6.682577,JN35IF
FBOTA,227,B/F-5754,SAINT GOBAIN,WW1,45.208938,6.682577,JN35IF
FBOTA,227,B/F-5755,PONT du NANT,WW1,45.206538,6.734251,JN35IE
